codice,"nome associazione",sito,comune,cap,provincia,regione,categoria
23,"Homepage &mdash; E-R Cultura",http://cultura.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1
27,"Home - La Musica InternaLa Musica Interna | Promozione, Ricerca, Didattica musicale",http://www.lamusicainterna.it,Bologna,40126,BO,EMR,1
29,"Sito ufficiale della Provincia di Ravenna	",http://www.provincia.ra.it,Ravenna,48121,RA,EMR,4
31,"Home Page",http://www.corosantospirito.it/,Ferrara,44100,FE,EMR,0
32,"La homepage del CORO TRE PINI di Padova",http://www.corotrepini.it,Padova,35123,PD,EMR,1
36,"Aziende e servizi in Emilia-romagna",http://emilia-romagna.1254.it,Ferrara,44121,FE,EMR,4
38,"Provincia di Reggio Emilia",http://www.provincia.re.it,"Reggio Emilia",42121,RE,EMR,4
70,"CSI Bologna - Centro Sportivo Italiano Comitato Provinciale di Bologna",http://www.csibologna.it/,Bologna,40132,BO,EMR,1-4
71,"Homepage &mdash; E-R Il portale della Regione Emilia-Romagna",http://www.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1
80,"Aziende e servizi Gambettola",http://gambettola.1254.it,Gambettola,56150,FC,EMR,0
81,"Homepage &mdash; E-R Istituto per i beni artistici culturali e naturali",http://ibc.regione.emilia-romagna.it,Bologna,40127,BO,EMR,0
90,Home,http://www.cvpuntamarina.com/,Ravenna,48122,RA,EMR,4
111,"ISTITUTO PER I BENI ARTISTICI, CULTURALI E NATURALI",http://rivista.ibc.regione.emilia-romagna.it,Bologna,40127,BO,EMR,0
112,"Homepage &mdash; E-R Scuola",http://scuola.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
114,Danzaurbana,http://www.danzaurbana.it,Bologna,40126,BO,EMR,1
115,"Regione Emilia-Romagna &mdash; E-R Sociale",http://sociale.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
125,Assonanza,http://www.assonanza.it,Mirandola,41037,MO,EMR,1
132,ATER,http://www.ater.emr.it,Modena,41124,MO,EMR,1
134,Home,http://www.divefun.it/,Dozza,40060,BO,EMR,4
276,"Informagiovani Ferrara | Home | informagiovani.fe.it",http://www.informagiovani.fe.it,Ferrara,44121,FE,EMR,1
351,"Associazione Nazionale Maestri di Ballo",http://www.anmb.net,Modena,41126,MO,EMR,1
395,"Teatro Necessario",http://www.teatronecessario.it/,Colorno,43052,PR,EMR,1
399,"Teatro Nucleo | Centro Produzione e ricerca teatrale",http://www.teatronucleo.org,Ferrara,44123,FE,EMR,1
501,"Flauto Magico - Index",http://www.flautomagico.it,Formigine,41043,MO,EMR,1
526,"Ferrara Musica: Le Ultime NovitA",http://www.ferraramusica.it/,Ferrara,44121,FE,EMR,1
543,"Emilia Romagna Teatro Fondazione - Modena",http://www.emiliaromagnateatro.com,Modena,41124,MO,EMR,1
544,"Comune di Rimini",http://www.comune.rimini.it,Rimini,47921,RN,EMR,1-4
546,"homepage &mdash; Rete Civica Monet",http://www.comune.modena.it,Modena,41121,MO,EMR,4
553,"l&#039;Ausilioteca di Bologna: chi siamo | ausilioteca",http://www.ausilioteca.org/,Bologna,40123,BO,EMR,0
560,"Agenzia Ambiente e Cultura di Bologna",http://agenzia.8m.com/,Monghidoro,40063,BO,EMR,0
