codice,"nome associazione",sito,comune,cap,provincia,regione,categoria
1,"Document sans nom",http://www.musicaanticamagnano.com,,,,,1
2,"Cambioscena - Home",http://www.cambioscena.com/,,,,,1
3,"Aimbitalia - Associazione Italiana Maestri di Ballo - Home",http://aimbitalia.it,Nola,80035,NA,CAM,1-4
4,"Careerjet.it - Offerte di lavoro in Italia",http://www.careerjet.it,,,,,1-4
5,"Casalecchio delle Culture",http://www.casalecchiodelleculture.it,,,,,00
6,"Casting provini e informazioni per lavorare nello spettacolo | www.castingeprovini.com",http://www.castingeprovini.com,,,,,1
7,"Emilia Romagna Teatro Fondazione, teatro stabile pubblico.",http://archivio.emiliaromagnateatro.com,,,,,1
8,"Benvenuti nel sito ufficiale di Federdanza - AGIS",http://www.federdanza-agis.org,,,,,1-4
9,"Centro Ottava - Scuola professionale di musica &#8211; Roma",http://www.centrottava.it,,,,,1
10,"FIDS - Federazione Italiana Danza Sportiva",http://www.federdanza.it,,,,,1-4
11,"CinemadaMare ",http://www.cinemadamare.com,Roma,136,RM,LAZ,1-4
12,"  Associazione Vox | [(Inside)+(Radio Catt)] x Milano = Vox",http://associazionevox.com,,,,,1-4
13,"Ferraraitalia.it - Quotidiano di Ferrara - l&#039;informazione verticale",http://www.ferraraitalia.it,,,,,1-4
14,"Associazione culturale CINEMAZERO - CINEMA - FILM -  SPETTACOLI - Sala Grande, Sala Pasolini, Sala T",http://www.cinemazero.org,Pordenone,33170,PN,FVG,1
15,"Homepage &mdash; E-R Cultura",http://cultura.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
17,"Anec Home page",http://www.cineweb-er.com,,,,,1
18,"Musicaficta | Star of the music universe!",http://www.musicaficta.org,,,,,1
19,"Ferrara Musica: Le Ultime Novità        ",http://www.ferraramusica.it/,Ferrara,44121,FE,EMR,1
20,"Fondazione Giorgio Cini Onlus | Il sito della Fondazione Giorgio Cini. L&#039;offerta culturale, gli",http://www.cini.it,Venezia,30123,VE,VEN,1
21,Redirect...,http://www.festaeuropeadellamusica.com,,,,,1
22,"Festival Internazionale Del Cinema Povero",http://www.festivaldelcinemapovero.com,,,,,1
23,"Associazione Musica 900 | Stagione concerti Roma EUR",http://www.musicanovecento.com,Roma,195,RM,LAZ,1
24,"Circolo Amici della musica G. Frescobaldi - Ferrara",http://www.circolofrescobaldi.it/,,,,,1
25,"Associazione culturale Musica Aperta di Milano - Scuola di musica per adulti, corsi e lezioni di mus",http://www.musicaperta.it,,,,,1
26,"Tutti i film al Cinema in Tv, Dvd. Trova lista nuovi film trailer, recensioni - Film.it",http://www.film.it,,,,,1
27,"Associazione Culturale MusicaVenezia",http://www.musicavenezia.org,,,,,1
28,,http://www.musicaventunesimo.it,,,,,1
29,"Il tuo matrimonio su Nozzeclick | Nozzeclick",http://www.nozzeclick.com,,,,,1-4
30,"homepage &mdash; Rete Civica Monet",http://www.comune.modena.it,Modena,41121,MO,EMR,1-4
31,"Flauto Magico - Index",http://www.flautomagico.it,Formigine,41043,MO,EMR,1-4
32,"Home Page Istituto per i beni musicali in piemonte",http://www.ibmp.it,,,,,1
33,"				Sito Ufficiale del Comune di Russi	 			",http://www.comune.russi.ra.it,,,,,1-4
34,"Aziende e servizi in Emilia-romagna",http://emilia-romagna.1254.it,Ferrara,44121,FE,EMR,4
35,"Comuni-Italiani.it: Informazioni, CAP e dati utili",http://www.comuni-italiani.it,,,,,00
36,"Occhio alla Notizia | Fano TV",http://www.occhioallanotizia.it,Fano,61032,PU,MAR,1
37,AIMI,http://www.aimi-musica.org,,,,,1
38,"Il Flâneur - Il quotidiano di Eventi e Cultura della città di Lecco",http://www.ilflaneur.com,Barzan�,23891,LC,LOM,1
39," 	Imola Vivere la Musica &raquo; L&#039;offerta musicale dell&#039;area imolese	",http://www.imolaviverelamusica.it,,,,,1
40," ALMC &#8211; Associazione Lirico Musicale Clodiense | La Musica a Chioggia    ",http://www.almc.it,Chioggia,30015,VE,VEN,1
41,"ParmaSub - News",http://www.parmasub.it/news.php,,,,,4
42,"Associazione Amici della Musica Milano",http://www.amicidellamusicamilano.it,Milano,20142,MI,LOM,1
43,"Point Ticket - Biglietti per Teatro, Concerti, Cinema, Parchi, Mostre, Musei, Eventi Sportivi",http://www.pointticket.it,,,,,1-4
44,"Home Page",http://www.corosantospirito.it/,Ferrara,44100,FE,EMR,1
45,"Amici della Musica Palermo",http://www.amicidellamusicapalermo.it,,,,,1
46,"Corsi in Italia di formazione gratuiti e per il tempo libero",http://www.corsincitta.it,,,,,1-4
47,"IMPRESA ITALIA - IL PORTALE DELLE IMPRESE ITALIANE",http://www.impresaitalia.info,,,,,00
48,"Concerti e Locali | In-Giro.net",http://www.in-giro.net,,,,,1-4
49,"CSI Bologna - Centro Sportivo Italiano Comitato Provinciale di Bologna",http://www.csibologna.it/,Bologna,40132,BO,EMR,1-4
50,"Indire, sito ufficiale",http://www.indire.it,Firenze,50122,FI,TOS,1-4
51,"Provincia di Reggio Emilia  ",http://www.provincia.re.it,"Reggio Emilia",42121,RE,EMR,4
52,"                  Amici della Musica Firenze    ",http://www.amicimusica.fi.it,Firenze,50123,FI,TOS,1
53,"Piemonte Eventi &gt; Sagre e Manifestazioni nelle Langhe e nel Roero",http://eventi.langhe.net,Alba,12051,CN,PIE,1-4
54,HOME,http://www.informagiovanni.it,,,,,1
55,"Homepage &mdash; E-R Il portale della Regione Emilia-Romagna",http://www.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
56,"Amici della musica - Udine",http://www.amicimusica.ud.it,Udine,33100,UD,FVG,1
57,www.culturaemusica.it,http://www.culturaemusica.it,,,,,1
58,,http://www.labiennale.org,,,,,00
59,"FITeL Piemonte | Federazione Italiana Tempo Libero",http://fitel-pmt.it,Torino,10125,TO,PIE,1-4
60,"Amici della Musica Sacra - Concerti Concorsi Festival Cori e Orchestre a Roma",http://www.amicimusicasacra.com,Roma,193,RM,LAZ,1
61,,http://www.ammi-italia.com,,,,,00
62,www.amnc.it,http://www.amnc.it,,,,,00
63,Home,http://www.cvpuntamarina.com/,Ravenna,48122,RA,EMR,4
64,"Hotel Rimini: Hotel Riviera Romagnola All Inclusive",http://www.riminibeach.it,,,,,1-4
65,"News | Anbima Piemonte",http://www.anbimapiemonte.it,"Venaria Reale",10078,TO,PIE,1
66,"     Home - La Musica InternaLa Musica Interna | Promozione, Ricerca, Didattica musicale    ",http://www.lamusicainterna.it,Bologna,40126,BO,EMR,1
67,"La Prima Web - Eventi Marche - Cultura Marche - Spettacolo Marche - Tempo Libero Marche",http://www.laprimaweb.it,,,,,1-4
68,"Scuola di Teatro di Bologna 'Alessandra Galante Garrone'",http://www.scuoladiteatrodibologna.it,,,,,1
69,,http://www.lescuoledirecitazione.it,"Gioia dei Marsi",67055,AQ,ABR,1
70,"Scuola di Musica Roma e Palestrina | Accademia Musicale Praeneste",http://www.scuolamusicale.com,Palestrina,36,RM,LAZ,1
71,"Danza.it il portale italiano della danza classica e moderna",http://www.danza.it,Torino,10156,TO,PIE,1
72,"Laboratorio di recitazione Lucia Sardo | Catania",http://www.luciasardo.it,Catania,95121,CT,SIC,1
73,MACINE,http://www.macine.net,,,,,1
74,"Aziende e servizi Gambettola",http://gambettola.1254.it,Gambettola,56150,FC,EMR,00
75,"Homepage &mdash; E-R Istituto per i beni artistici culturali e naturali",http://ibc.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
76," Danzaurbana",http://www.danzaurbana.it,Bologna,40126,BO,EMR,1
77,":: De Musica Onlus ::",http://www.demusicaonlus.it,,,,,1
