codice,"sito associazione",telefono
11,http://cultura.regione.emilia-romagna.it,800.625.903
17,http://www.lamusicainterna.it,"051 266959"
18,http://www.provincia.ra.it,"0544 258001"
19,http://www.provincia.ra.it,"0544 258111"
20,http://www.provincia.ra.it,"0544 258070"
22,http://www.corosantospirito.it/,"340 9732184"
25,http://emilia-romagna.1254.it,"0536 889798"
26,http://emilia-romagna.1254.it,"0523 788734"
27,http://emilia-romagna.1254.it,"0544 270379"
28,http://emilia-romagna.1254.it,"0532 977284"
29,http://emilia-romagna.1254.it,"0543 767436"
30,http://emilia-romagna.1254.it,"0532 761206"
31,http://emilia-romagna.1254.it,"0521 966072"
32,http://emilia-romagna.1254.it,"0532 248460"
33,http://www.provincia.re.it,0522.444111
34,http://www.provincia.re.it,0522.444108
78,http://www.regione.emilia-romagna.it,800-407407
79,http://www.csibologna.it/,"	051 405318"
80,http://www.regione.emilia-romagna.it,051-5275360
82,http://www.csibologna.it/,"	051 406578"
83,http://www.regione.emilia-romagna.it,800.625.903
90,http://ibc.regione.emilia-romagna.it,"051 232 599"
91,http://ibc.regione.emilia-romagna.it,800.625.903
102,http://www.cvpuntamarina.com/,"	0544 437153"
114,http://rivista.ibc.regione.emilia-romagna.it,"051 232 599"
115,http://rivista.ibc.regione.emilia-romagna.it,800.625.903
116,http://scuola.regione.emilia-romagna.it,800.625.903
118,http://www.danzaurbana.it,"051 6440879"
119,http://www.danzaurbana.it,"051 3370264"
120,http://sociale.regione.emilia-romagna.it,800.625.903
125,http://www.assonanza.it,347-9001198
134,http://www.ater.emr.it,"059 340221"
135,http://www.ater.emr.it,"059 342802"
136,http://www.divefun.it/,333.6215482
137,http://www.divefun.it/, 338.2789561
138,http://www.divefun.it/,1782.204577
356,http://www.anmb.net,02093050363
422,http://www.teatronecessario.it/,328.3926956
424,http://www.teatronucleo.org,"0532 464091"
425,http://www.teatronucleo.org,"348 9655709"
507,http://www.flautomagico.it,"328 2751113"
508,http://www.flautomagico.it,"338 2104518"
509,http://www.flautomagico.it,"338 3383025"
510,http://www.flautomagico.it,"333 3459471"
531,http://www.ferraramusica.it/,"0532 202675"
532,http://www.ferraramusica.it/,"0532 206007"
533,http://www.ferraramusica.it/,"0532 202400"
534,http://www.ferraramusica.it/,"0532 241097"
535,http://www.ferraramusica.it/,01109860385
558,http://www.emiliaromagnateatro.com/,"059 2136011"
559,http://www.emiliaromagnateatro.com/,"059 2138252"
560,http://www.emiliaromagnateatro.com/,01989060361
562,http://www.emiliaromagnateatro.com,"059 2136011"
563,http://www.emiliaromagnateatro.com,"059 2138252"
564,http://www.emiliaromagnateatro.com,01989060361
565,http://www.comune.rimini.it,"0541 704000"
566,http://www.comune.rimini.it,"0541 704111"
569,http://www.ausilioteca.org/,051-6597711
570,http://www.ausilioteca.org/,051-6597737
573,http://www.cefaonlus.it,051520285
574,http://www.cefaonlus.it,051520712
575,http://www.cefaonlus.it,01029970371
580,http://www.aiasbo.it/,"051 454 727"
581,http://www.aiasbo.it/,"051 450 729"
582,http://www.aiasbo.it/,"051 466 105"
583,http://www.aiasbo.it/,02376540379
584,http://www.aiasbo.it/,"051 454727"
585,http://www.aiasbo.it/,"051 450729"
586,http://www.aiasbo.it/,"051 466105"
587,http://www.astrofiliimolesi.it/,02636561207
588,http://www.astrofiliimolesi.it/,"334 3156302"
589,http://www.ilmartinpescatore.org,04013640372
590,http://www.emi.it,"051 326027"
591,http://www.emi.it,"	01164630376"
592,http://www.emi.it,"051 327552"
593,http://www.societadolce.it/,"051 6441211"
594,http://www.societadolce.it/,"051 6441212"
595,http://www.societadolce.it/,03772490375
596,http://www.aifo.it/,"051 4393211"
597,http://www.aifo.it/,"051 434046"
598,http://www.aifo.it/,800550303
599,http://www.sognamondo.it,02823941204
600,http://www.sognamondo.it,"	051-0826370"
601,http://www.sognamondo.it,347.3491548
602,http://www.sognamondo.it,051-3370083
603,http://www.ancoraservizi.it,"051 6370201"
604,http://www.ancoraservizi.it,"051 6336168"
605,http://www.anpasemiliaromagna.org/,"051 6347184"
606,http://www.anpasemiliaromagna.org/,"051 6350118"
613,http://www.casagianni.net/Casa_Gianni/ASAT.html,051453895
614,http://www.casagianni.net/Casa_Gianni/ASAT.html,051453100
615,http://cooperativaquintoangolo.jimdo.com/,02891481208
616,http://ilbaobab.com/,051.401337
617,http://ilbaobab.com/,051401337
618,http://ilbaobab.com/,03555570377
619,http://www.globalaid.it,"051 5873822"
620,http://www.cimcoop.it/,051-402357
621,http://www.cimcoop.it/,051-6416920
622,http://www.cimcoop.it/,334.5209298
623,http://www.cimcoop.it/,334.1412852
624,http://www.cimcoop.it/,334.1413792
